index,title,name_en,name_kanji,name_kana,in_prefecture,map_ids,stats_population,stats_population_date,stats_population_density,stats_area,url_official,url_wikipedia,img_flag,img_seal,img_impression,tags
103,Shinjuku-ku,Shinjuku-ku,新宿区,しんじゅくく,Tokyo,"Tokyo, Tokyo-Shinjuku-ku","349,511",2019-10-01T00:00:00Z,"19,182.82",18.22,http://www.city.shinjuku.lg.jp/,https://en.wikipedia.org/wiki/Shinjuku,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Shinjuku%2C%20Tokyo.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Shinjuku%2C%20Tokyo.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Skyscrapers%20of%20Shinjuku%202009%20January.jpg"" />","('Capital', 'Tokyo')"
111,Saitama,Saitama,さいたま市,さいたまし,Saitama,"Saitama, Saitama-Saitama","1,307,931",2019-10-01T00:00:00Z,"6,015.41",217.43,https://www.city.saitama.jp/,https://en.wikipedia.org/wiki/Saitama_(city),"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saitama%2C%20Saitama.svg"" />","<img class=""img_seal_img"" src=""None"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Saitama%20city%20montage.jpg"" />","('Capital', 'Saitama')"
113,Chiba,Chiba,千葉市,ちばし,Chiba,"Chiba, Chiba-Chiba","980,203",2019-10-01T00:00:00Z,"3,606.87",271.76,http://www.city.chiba.jp/opendata/index.php,https://en.wikipedia.org/wiki/Chiba_(city),"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chiba%2C%20Chiba.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Chiba%2C%20Chiba.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Chiba%20monorail%20train.jpg"" />","('Capital', 'Chiba')"
123,Mito,Mito,水戸市,みとし,Ibaraki,"Ibaraki, Ibaraki-Mito","269,661",2019-10-01T00:00:00Z,"1,240.85",217.32,https://www.city.mito.lg.jp/,"https://en.wikipedia.org/wiki/Mito,_Ibaraki","<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mito%2C%20Ibaraki.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Symbol%20of%20Mito%20Ibaraki.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Mito%20skyline%20over%20plums.jpg"" />","('Capital', 'Ibaraki')"
137,Utsunomiya,Utsunomiya,宇都宮市,うつのみやし,Tochigi,"Tochigi, Tochigi-Utsunomiya","519,255",2019-10-01T00:00:00Z,"1,245.69",416.84,https://www.city.utsunomiya.tochigi.jp/,https://en.wikipedia.org/wiki/Utsunomiya,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Utsunomiya%2C%20Tochigi.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Utsunomiya%2C%20Tochigi.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Utsunomiya%20montage.jpg"" />","('Capital', 'Tochigi')"
139,Maebashi,Maebashi,前橋市,まえばしし,Gunma,"Gunma, Gunma-Maebashi","332,999",2019-10-01T00:00:00Z,"1,068.71",311.59,https://www.city.maebashi.gunma.jp/,https://en.wikipedia.org/wiki/Maebashi,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Maebashi%2C%20Gunma.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Symbol%20of%20Maebashi%2C%20Gunma.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Maebashi20080227.jpg"" />","('Capital', 'Gunma')"
207,Ōsaka,"Ōsaka, Osaka, Oosaka",大阪市,おおさかし,Ōsaka,"Osaka, Osaka-Osaka","2,740,202",2019-10-01T00:00:00Z,"12,287.90",223.00,https://www.city.osaka.lg.jp/,https://en.wikipedia.org/wiki/Osaka,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Osaka%2C%20Osaka.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Osaka%2C%20Osaka.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20montage.jpg"" />","('Capital', 'Osaka')"
215,Kōbe,"Kōbe, Kobe, Koube",神戸市,こうべし,Hyōgo,"Hyogo, Hyogo-Kobe","1,522,944",2019-10-01T00:00:00Z,"2,757.81",552.23,https://www.city.kobe.lg.jp/,https://en.wikipedia.org/wiki/Kobe,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kobe.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Kobe%2C%20Hyogo.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Twilight%20view%20of%20Kobe%2C%20from%20a%20point%20near%20Shin-Kobe%20station.jpg"" />","('Capital', 'Hyogo')"
245,Tsu,Tsu,津市,つし,Mie,"Mie, Mie-Tsu","275,371",2019-06-01T00:00:00Z,387.20,711.19,https://www.info.city.tsu.mie.jp/,"https://en.wikipedia.org/wiki/Tsu,_Mie","<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tsu%2C%20Mie.svg"" />","<img class=""img_seal_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Tsu%2C%20Mie.svg"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Tsu%20City%20Hall.jpg"" />","('Capital', 'Mie')"
253,Ōtsu,"Ōtsu, Otsu, Ootsu",大津市,おおつし,Shiga,"Shiga, Shiga-Otsu","342,175",2019-10-01T00:00:00Z,737.29,464.10,https://www.city.otsu.lg.jp/,https://en.wikipedia.org/wiki/%C5%8Ctsu,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Otsu%2C%20Shiga.svg"" />","<img class=""img_seal_img"" src=""None"" />","<img class=""img_impression_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Otsu%20montage.jpg"" />","('Capital', 'Shiga')"
