index,title,name_en,name_kanji,name_kana,in_region,capital,map_ids,stats_population,stats_population_date,stats_population_density,stats_population_rank,stats_area,stats_area_rank,url_official,url_wikipedia,img_flag,img_symbol,tags
102,Tokyo,Tokyo,東京都,とうきょうと,Kantō,Shinjuku-ku,Tokyo,"13,942,856",2019-10-01T00:00:00Z,"6,373.41",1,"2,187.66",45,http://www.metro.tokyo.jp,https://en.wikipedia.org/wiki/Tokyo,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tokyo%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/PrefSymbol-Tokyo.svg"" />","('Prefecture', 'Kanto')"
104,Kanagawa,Kanagawa,神奈川県,かながわけん,Kantō,Yokohama,Kanagawa,"9,200,166",2019-10-01T00:00:00Z,"3,807.95",2,"2,416.04",43,http://www.pref.kanagawa.jp,https://en.wikipedia.org/wiki/Kanagawa_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kanagawa%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Kanagawa%20Prefecture.svg"" />","('Prefecture', 'Kanto')"
110,Saitama,Saitama,埼玉県,さいたまけん,Kantō,Saitama,Saitama,"7,337,330",2019-10-01T00:00:00Z,"1,931.85",5,"3,798.08",39,http://www.pref.saitama.lg.jp,https://en.wikipedia.org/wiki/Saitama_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Saitama%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Saitama%20Prefecture.svg"" />","('Prefecture', 'Kanto')"
112,Chiba,Chiba,千葉県,ちばけん,Kantō,Chiba,Chiba,"6,279,026",2019-10-01T00:00:00Z,"1,217.77",6,"5,156.15",28,http://www.pref.chiba.lg.jp,https://en.wikipedia.org/wiki/Chiba_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chiba%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Chiba%20Prefecture.png"" />","('Prefecture', 'Kanto')"
122,Ibaraki,Ibaraki,茨城県,いばらきけん,Kantō,Mito,Ibaraki,"2,868,041",2019-10-01T00:00:00Z,470.51,11,"6,095.58",24,https://www.pref.ibaraki.jp/,https://en.wikipedia.org/wiki/Ibaraki_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ibaraki%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Ibaraki%20Prefecture.svg"" />","('Prefecture', 'Kanto')"
136,Tochigi,Tochigi,栃木県,とちぎけん,Kantō,Utsunomiya,Tochigi,"1,942,312",2019-10-01T00:00:00Z,303.09,18,"6,408.28",20,http://www.pref.tochigi.lg.jp,https://en.wikipedia.org/wiki/Tochigi_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tochigi%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Tochigi%20Prefecture.svg"" />","('Prefecture', 'Kanto')"
138,Gunma,Gunma,群馬県,ぐんまけん,Kantō,Maebashi,Gunma,"1,937,626",2019-10-01T00:00:00Z,304.55,19,"6,362.33",21,https://www.pref.gunma.jp/,https://en.wikipedia.org/wiki/Gunma_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gunma%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Gunma%20Prefecture.svg"" />","('Prefecture', 'Kanto')"
206,Ōsaka,"Ōsaka, Osaka, Oosaka",大阪府,おおさかふ,Kansai,Ōsaka,Osaka,"8,823,453",2019-10-01T00:00:00Z,"4,645.68",3,"1,899.28",46,http://www.pref.osaka.lg.jp/,https://en.wikipedia.org/wiki/Osaka_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Osaka%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Osaka%20Prefecture.svg"" />","('Prefecture', 'Kansai')"
214,Hyōgo,"Hyōgo, Hyogo, Hyougo",兵庫県,ひょうごけん,Kansai,Kōbe,Hyogo,"5,463,609",2019-10-01T00:00:00Z,650.36,7,"8,400.96",12,https://web.pref.hyogo.lg.jp/,https://en.wikipedia.org/wiki/Hy%C5%8Dgo_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hyogo%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Hyogo%20Prefecture.svg"" />","('Prefecture', 'Kansai')"
226,Kyōto,"Kyōto, Kyoto, Kyouto",京都府,きょうとふ,Kansai,Kyoto,Kyoto,"2,583,140",2019-10-01T00:00:00Z,560.07,13,"4,612.19",31,https://www.pref.kyoto.jp/,https://en.wikipedia.org/wiki/Kyoto_Prefecture,"<img class=""img_flag_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kyoto%20Prefecture.svg"" />","<img class=""img_symbol_img"" src=""http://commons.wikimedia.org/wiki/Special:FilePath/Emblem%20of%20Kyoto%20Prefecture.svg"" />","('Prefecture', 'Kansai')"
